Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
353200,KR7353200009,대덕전자,KOSPI,,19450,2,-390,-1.97,19830,19920,19450,135798,2666731160,961159191250,49416925,STK
352480,KR7352480008,씨앤씨인터내셔널,KOSDAQ,벤처기업부,95500,2,-2100,-2.15,97300,99900,94600,67053,6467117900,956331365500,10013941,KSQ
056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,26600,2,-150,-0.56,26600,26800,26350,62538,1664044750,955173016000,35908760,KSQ
300720,KR7300720000,한일시멘트,KOSPI,,13780,1,110,0.8,13690,13810,13600,79471,1088318980,954424021200,69261540,STK
002840,KR7002840007,미원상사,KOSPI,,199800,2,-3200,-1.58,203000,204500,199800,3141,633771600,949050000000,4750000,STK
000210,KR7000210005,DL,KOSPI,,44950,1,1400,3.21,43900,45600,43300,74294,3341760150,941966985800,20955884,STK
145720,KR7145720009,덴티움,KOSPI,,84300,1,2000,2.43,82900,85800,82200,124602,10533244400,933102369000,11068830,STK
085620,KR7085620003,미래에셋생명,KOSPI,,5240,2,-40,-0.76,5280,5280,5240,21652,113700730,927564830360,177016189,STK
001530,KR7001530005,DI동일,KOSPI,,36700,1,400,1.1,36250,37000,36100,62633,2282779050,925415162400,25215672,STK
336370,KR7336370002,솔루스첨단소재,KOSPI,,13050,2,-120,-0.91,13190,13200,12970,142850,1866528070,916336339200,70217344,STK
317330,KR7317330009,덕산테코피아,KOSDAQ,우량기업부,44500,2,-600,-1.33,45150,45650,44000,141880,6324247500,910442588000,20459384,KSQ
100090,KR7100090000,SK오션플랜트,KOSPI,,15300,2,-300,-1.92,15630,15640,15220,147949,2271614070,905692190400,59195568,STK
078130,KR7078130002,국일제지,KOSDAQ,관리종목(소속부없음),800,0,0,0.0,0,0,0,0,0,901924696800,1127405871,KSQ
330590,KR7330590001,롯데리츠,KOSPI,,3680,2,-5,-0.14,3685,3730,3635,399222,1468836270,894125493120,242968884,STK
082640,KR7082640004,동양생명,KOSPI,,5530,1,20,0.36,5510,5570,5440,313985,1724140610,892312975050,161358585,STK
000815,KR7000811000,삼성화재우,KOSPI,,278000,2,-2000,-0.71,279500,281000,274500,6930,1921118000,887376000000,3192000,STK
084370,KR7084370006,유진테크,KOSDAQ,우량기업부,38600,2,-700,-1.78,39500,40000,38600,159676,6245005850,884559221200,22916042,KSQ
285130,KR7285130001,SK케미칼,KOSPI,,51100,2,-100,-0.2,51300,51900,51000,21551,1110529700,881668311300,17253783,STK
004800,KR7004800009,효성,KOSPI,,52200,3,0,0.0,52500,52800,51400,18045,941619100,873849245400,16740407,STK
066575,KR7066571001,LG전자우,KOSPI,,50600,2,-200,-0.39,50700,51000,50100,36926,1869308700,869611195200,17185992,STK
140410,KR7140410002,메지온,KOSDAQ,중견기업부,28800,2,-1000,-3.36,29700,29800,28800,74581,2180153000,862744838400,29956418,KSQ
383310,KR7383310000,에코프로에이치엔,KOSDAQ GLOBAL,중견기업부,56100,1,1900,3.51,53800,58900,53400,402467,22756516000,858606685200,15304932,KSQ
950210,KR8702070002,프레스티지바이오파마,KOSPI,,13980,2,-370,-2.58,14420,14420,13900,72509,1014843480,840144246900,60096155,STK
023590,KR7023590003,다우기술,KOSPI,,18610,1,290,1.58,18320,18700,18280,35575,659098980,834967742370,44866617,STK
047920,KR7047920004,HLB제약,KOSDAQ,기술성장기업부,26100,2,-500,-1.88,26600,26600,26100,161424,4239614000,829979843400,31799994,KSQ
003540,KR7003540002,대신증권,KOSPI,,16300,3,0,0.0,16290,16400,16210,46342,755705160,827606420000,50773400,STK
192400,KR7192400000,쿠쿠홀딩스,KOSPI,,23200,3,0,0.0,23200,23500,23150,4742,110214450,825042692000,35562185,STK
082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,20400,1,100,0.49,19800,20400,19440,401850,8144848790,815881149600,39994174,KSQ
229640,KR7229640008,LS에코에너지,KOSPI,,26300,2,-1200,-4.36,27800,27800,26200,196733,5243834200,805434317700,30624879,STK
039130,KR7039130000,하나투어,KOSPI,,50100,1,600,1.21,49600,51000,49450,85762,4327809300,803563168500,16039185,STK
213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,32350,2,-400,-1.22,32700,33150,32200,147709,4830945250,803288640650,24831179,KSQ
003570,KR7003570009,SNT다이내믹스,KOSPI,,24100,2,-100,-0.41,24100,24500,23150,193820,4612887800,801389997700,33252697,STK
067310,KR7067310003,하나마이크론,KOSDAQ,우량기업부,12090,2,-40,-0.33,12260,12580,11980,872523,10658811550,794855792640,65744896,KSQ
006110,KR7006110001,삼아알미늄,KOSPI,,54000,1,1400,2.66,53900,55000,51800,98925,5285495600,794443464000,14711916,STK
271940,KR7271940009,일진하이솔루스,KOSPI,,21750,2,-200,-0.91,22000,22050,21700,14410,314309450,789811882500,36313190,STK
000400,KR7000400002,롯데손해보험,KOSPI,,2545,1,20,0.79,2520,2555,2515,148362,376375295,789805934400,310336320,STK
069260,KR7069260008,TKG휴켐스,KOSPI,,19230,2,-70,-0.36,19390,19410,19170,31544,608926190,786095247240,40878588,STK
214320,KR7214320004,이노션,KOSPI,,19490,1,80,0.41,19400,19560,19360,30213,588573760,779600000000,40000000,STK
032350,KR7032350001,롯데관광개발,KOSPI,,10200,1,670,7.03,9630,10200,9580,1718806,17104762590,777201066600,76196183,STK
048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,19400,2,-200,-1.02,19550,19710,19330,161797,3149973800,772539195200,39821608,KSQ
114090,KR7114090004,GKL,KOSPI,,12470,1,420,3.49,12100,12530,12080,495150,6129707710,771340204900,61855670,STK
115450,KR7115450009,HLB테라퓨틱스,KOSDAQ,중견기업부,9610,2,-170,-1.74,9810,9900,9560,676239,6546274510,770144756130,80139933,KSQ
101360,KR7101360006,에코앤드림,KOSDAQ,벤처기업부,43250,2,-1150,-2.59,44850,45150,42550,441467,19372582150,769249430500,17786114,KSQ
000640,KR7000640003,동아쏘시오홀딩스,KOSPI,,120800,2,-1700,-1.39,122400,123000,120000,11086,1345666600,766948690400,6348913,STK
440110,KR7440110005,파두,KOSDAQ,기술성장기업부,15510,2,-90,-0.58,15680,15680,15380,77404,1199652750,765177102360,49334436,KSQ
009520,KR7009520008,포스코엠텍,KOSDAQ GLOBAL,우량기업부,18320,2,-30,-0.16,18570,18620,18210,258892,4764537280,762894318960,41642703,KSQ
053030,KR7053030003,바이넥스,KOSDAQ,우량기업부,23900,2,-1400,-5.53,25200,25500,23600,2542399,61570326700,759089047200,31761048,KSQ
086450,KR7086450004,동국제약,KOSDAQ GLOBAL,우량기업부,16990,2,-240,-1.39,17210,17230,16900,105441,1791035010,755375400000,44460000,KSQ
003850,KR7003850005,보령,KOSPI,,10940,2,-130,-1.17,11110,11270,10800,462488,5124186750,751468600000,68690000,STK
006650,KR7006650006,대한유화,KOSPI,,115600,1,5600,5.09,111900,117100,109000,70004,8012329600,751400000000,6500000,STK
098460,KR7098460009,고영,KOSDAQ,우량기업부,10930,1,190,1.77,10780,11190,10740,505697,5552653136,750396472150,68654755,KSQ
001430,KR7001430008,세아베스틸지주,KOSPI,,20900,1,300,1.46,20600,21100,20450,117162,2447340400,749518287100,35862119,STK
003030,KR7003030004,세아제강지주,KOSPI,,180500,2,-8300,-4.4,190000,190000,180500,3913,721554200,747569088500,4141657,STK
281820,KR7281820001,케이씨텍,KOSPI,,35750,1,250,0.7,36250,36650,35350,97409,3515840250,745800627000,20861556,STK
089590,KR7089590004,제주항공,KOSPI,,9240,1,140,1.54,9260,9360,9230,189360,1760967870,745122701400,80640985,STK
456040,KR7456040005,OCI,KOSPI,,83000,1,100,0.12,82400,84900,82400,14107,1178771600,743057085000,8952495,STK
001680,KR7001680008,대상,KOSPI,,21350,2,-600,-2.73,21950,21950,21300,151681,3274029750,739735333750,34648025,STK
025540,KR7025540006,한국단자,KOSPI,,71000,2,-1700,-2.34,72400,72400,70400,13797,981034400,739465000000,10415000,STK
003240,KR7003240009,태광산업,KOSPI,,662000,1,21000,3.28,641000,676000,641000,1577,1046551000,737070800000,1113400,STK
005250,KR7005250006,녹십자홀딩스,KOSPI,,15590,2,-260,-1.64,15850,15850,15590,51055,803179500,733169793900,47028210,STK
003530,KR7003530003,한화투자증권,KOSPI,,3405,2,-20,-0.58,3460,3470,3405,631419,2170727805,730535173875,214547775,STK
042000,KR7042000000,카페24,KOSDAQ,기술성장기업부,30050,2,-400,-1.31,30200,30650,29400,300909,9041494550,728804272700,24253054,KSQ
093370,KR7093370005,후성,KOSPI,,6790,1,10,0.15,6810,6870,6690,272836,1853114610,728263690700,107255330,STK
222080,KR7222080004,씨아이에스,KOSDAQ,우량기업부,10080,2,-60,-0.59,10150,10160,9970,351110,3534509750,723031616160,71729327,KSQ
064960,KR7064960008,SNT모티브,KOSPI,,49300,1,250,0.51,48850,49450,48150,36149,1766982200,720920604800,14623136,STK
005440,KR7005440003,현대지에프홀딩스,KOSPI,,4620,2,-40,-0.86,4725,4725,4580,286427,1321768875,720277870620,155904301,STK
020560,KR7020560009,아시아나항공,KOSPI,,9610,1,110,1.16,9600,9840,9570,146130,1416745890,715097052040,74411764,STK
064550,KR7064550007,바이오니아,KOSDAQ,우량기업부,27700,2,-400,-1.42,28150,28250,27500,130257,3612732250,714945060700,25810291,KSQ
348950,KR7348950007,제이알글로벌리츠,KOSPI,,3600,2,-10,-0.28,3610,3615,3585,490690,1765532105,710553600000,197376000,STK
002350,KR7002350007,넥센타이어,KOSPI,,7270,2,-30,-0.41,7350,7350,7220,37518,272728760,710045465790,97667877,STK
122870,KR7122870009,와이지엔터테인먼트,KOSDAQ GLOBAL,우량기업부,37850,1,2550,7.22,35050,38200,34850,361811,13468588450,707456204650,18691049,KSQ
365340,KR7365340009,성일하이텍,KOSDAQ,기술성장기업부,58000,3,0,0.0,57500,58500,57000,22270,1290010100,703966126000,12137347,KSQ
009900,KR7009900002,명신산업,KOSPI,,13230,2,-200,-1.49,13430,13430,13170,95876,1270793610,694179859590,52470133,STK
393890,KR7393890009,더블유씨피,KOSDAQ GLOBAL,기술성장기업부,20600,1,550,2.74,20150,21250,19820,229437,4749705690,694148270800,33696518,KSQ
000070,KR7000070003,삼양홀딩스,KOSPI,,80500,1,1400,1.77,79200,84000,78900,22835,1877223900,689423815500,8564271,STK
000670,KR7000670000,영풍,KOSPI,,369500,2,-4000,-1.07,367000,375000,364500,23579,8712620000,680633780000,1842040,STK
